TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,3
184.5,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,3
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,3
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,1
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,1
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,1
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.88,2
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,3
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,3
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,3
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,3
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,3
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,1
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,3
59.32,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,0
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,3
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,1
246.93,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.35,0
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,3
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,1
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2
396.45,Debit,New York,ATM,49.0,Engineer,168.0,3.0,9690.15,0
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,3
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,1
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,3
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,2
335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.39,2
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2
34.02,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,2
241.42,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,1
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79,3
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,3
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,3
510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,3
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,3
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,1
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.88,3
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,3
60.54,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,1
292.56,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2
112.07,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3,3
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,2
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,1
5.77,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,2
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,1
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,3
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,1
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,2
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,1
1212.51,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.95,3
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,2
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,3
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,2
922.55,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,2
1340.19,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,1
24.56,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,2
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,1
392.96,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.65,3
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,1
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,0
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,3
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,3
508.68,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,1
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,3
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,2
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,2
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,3
503.76,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,3
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,2
254.37,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,1
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,1
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,2
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,1
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,1
331.65,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,2
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,1
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,3
38.15,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.68,3
1036.66,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,2
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,1
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,3
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2
16.16,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,2
486.08,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,3
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,3
997.43,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,2
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,3
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2
1049.92,Debit,Detroit,ATM,80.0,Retired,21.0,1.0,2037.85,2
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,3
45.85,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,3
973.39,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,2
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2
265.76,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,2
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,1
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.16,3
496.03,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,1
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,3
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,1
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.86,3
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,2
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,1
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2
60.65,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.28,1
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,2
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,2
126.21,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,2
506.28,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.95,1
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,2
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,3
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,2
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,2
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,2
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,3
169.47,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.16,3
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.74,3
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,3
237.06,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.77,2
34.17,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.55,1
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,2
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,2
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,2
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,3
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,2
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,2
1041.88,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,2
630.36,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,2
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,1
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,2
1422.55,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,2
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,1
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,3
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,1
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,2
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,2
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,3
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,2
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,2
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,2
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,2
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,2
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,2
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,2
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,2
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,2
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,3
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,1
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,2
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,2
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,1
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,2
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,2
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,2
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,2
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,2
